No,Period,Indonesia,Central & Southern Asia,East and SEA,NA and Europe,World
1,Jan-19,2.82,5.8,1.5,1.9,3.169489478
2,Feb-19,2.57,6.6,1.4,2,3.236374551
3,Mar-19,2.48,7.2,1.9,2.1,3.549842614
4,Apr-19,2.83,7.8,1.8,2.3,3.692958461
5,May-19,3.32,7.7,2,2,3.668010491
6,Jun-19,3.28,7.8,2,1.9,3.428418363
7,Jul-19,3.32,7.6,2.3,1.9,3.490479332
8,Aug-19,3.49,7.5,2,1.8,3.333149624
9,Sep-19,3.39,7.5,1.9,1.7,3.060697788
10,Oct-19,3.13,7.5,2,1.7,3.025500122
11,Nov-19,3,8,2.2,1.8,3.323818204
12,Dec-19,2.72,9.6,2.4,2,3.713975973
13,Jan-20,2.68,9.6,3.8,2.1,4.211932352
14,Feb-20,2.98,8.8,3.7,1.9,4.020674377
15,Mar-20,2.96,7.7,3,1.4,3.518997221
16,Apr-20,2.67,8.5,2,0.7,2.906577499
17,May-20,2.19,7.6,1.5,0.5,2.54691073
18,Jun-20,1.96,8,1.7,0.9,2.88110946
19,Jul-20,1.54,8.6,1.2,1.1,2.987612649
20,Aug-20,1.32,8.9,1.6,1,2.26710055
21,Sep-20,1.42,9.6,1.2,1,2.969396944
22,Oct-20,1.44,10.6,0.3,1,2.918725442
23,Nov-20,1.59,10.2,-0.2,1,2.734167749
24,Dec-20,1.68,8.5,0.1,1.1,2.830044786
25,Jan-21,1.55,7.9,0.1,1.6,2.994298261
26,Feb-21,1.38,9.1,0,1.8,3.246157941
27,Mar-21,1.37,9.6,0.5,2.4,3.735231203
28,Apr-21,1.42,8.8,1.1,3.1,4.360772592
29,May-21,1.68,10.2,1.5,3.7,4.879386404
30,Jun-21,1.33,10.1,1.2,3.8,4.896120499
31,Jul-21,1.52,9.5,1.6,3.9,4.994863018
32,Aug-21,1.59,9.2,1.1,4.2,4.99275942
33,Sep-21,1.6,8.5,0.9,4.6,5.095031333
34,Oct-21,1.66,8.3,1.3,5.3,5.468731997
35,Nov-21,1.75,10.2,2.3,6,6.301164703
36,Dec-21,1.87,8.4,1.7,6.1,6.435684815
37,Jan-22,2.18,9.6,1.5,6.4,6.784322604
38,Feb-22,2.06,9.6,1.5,7,7.472032462
39,Mar-22,2.64,10.3,2,8.6,9.215446305
40,Apr-22,3.47,,,,
41,May-22,3.55,,,,
42,Jun-22,4.35,,,,
43,Jul-22,4.94,,,,
44,Aug-22,4.69,,,,
45,Sep-22,5.95,,,,
